layer,group,C,tensor_max,outlier_ratio,kurtosis,frac_outlier_ch
backbone.encoder_layers.1.blocks.3.mlp.fc2,encoder/mlp,4096,13.69,5.441,203.3,0
encoder.level_agg.layers.0.1.net.0,encoder/misc,512,12,5.423,30.46,0
backbone.encoder_layers.0.blocks.5.mlp.fc2,encoder/mlp,2048,21.75,5.395,71.22,0
backbone.encoder_layers.2.blocks.5.mlp.fc2,encoder/mlp,8192,14.19,5.341,308.8,0
backbone.decoder_layers.1.blocks.1.mlp.fc1,decoder/mlp,1024,5.773,5.311,12.22,0
backbone.decoder_layers.1.blocks.1.attn.qkv,decoder/attn,1024,5.773,5.256,10.56,0
backbone.decoder_layers.1.blocks.2.mlp.fc1,decoder/mlp,1024,6.066,5.145,14.47,0
backbone.decoder_layers.2.blocks.0.mlp.fc2,decoder/mlp,2048,19.75,5.138,96.46,0
backbone.decoder_layers.1.blocks.2.attn.qkv,decoder/attn,1024,5.78,5.122,13.4,0
backbone.encoder_layers.1.blocks.5.mlp.fc2,encoder/mlp,4096,14.06,5.056,65.43,0
backbone.encoder_layers.0.blocks.2.mlp.fc2,encoder/mlp,2048,19,5.025,70.77,0
backbone.decoder_layers.1.blocks.0.attn.qkv,decoder/attn,1024,5.219,4.985,8.803,0
backbone.encoder_layers.0.blocks.1.mlp.fc2,encoder/mlp,2048,14.62,4.979,61.59,0
backbone.encoder_layers.1.blocks.7.mlp.fc2,encoder/mlp,4096,14.25,4.903,122.2,0
backbone.decoder_layers.1.blocks.3.attn.qkv,decoder/attn,1024,6.072,4.867,15.69,0
backbone.decoder_layers.2.blocks.5.mlp.fc2,decoder/mlp,2048,23.5,4.821,594.2,0
encoder.level_agg.layers.0.1.net.2,encoder/misc,2048,13.68,4.815,29.26,0
encoder.level_agg.layers.0.0.to_out,encoder/misc,512,142,4.808,10.13,0
backbone.decoder_layers.1.blocks.3.mlp.fc1,decoder/mlp,1024,6.075,4.769,16.48,0
