# per (initialisation, variable) RMSE for the config and FP32. source=harness_results.pt. Raw material for the POOLED bootstrap: pooling happens inside each resample, so a pre-collapsed degradation series cannot produce it.
tag,lead,init,var,r_cfg,r_ref
ceiling,24,43,mean_sea_level_pressure,51.57810593,51.58109283
ceiling,24,43,specific_humidity_700,0.0005145692267,0.0005145841278
ceiling,24,43,u_component_of_wind_500,1.540945411,1.540934086
ceiling,24,43,v_component_of_wind_500,1.578048468,1.578084588
ceiling,24,44,geopotential_500,50.40746689,50.41005707
ceiling,24,44,temperature_850,0.6144858599,0.6144151688
ceiling,24,44,2m_temperature,0.6012042761,0.6011608839
ceiling,24,44,mean_sea_level_pressure,56.03839111,56.04428101
ceiling,24,44,specific_humidity_700,0.000520155183,0.0005201376625
ceiling,24,44,u_component_of_wind_500,1.673097014,1.673054934
ceiling,24,44,v_component_of_wind_500,1.711740375,1.711608052
ceiling,24,45,geopotential_500,44.69665909,44.69275665
ceiling,24,45,temperature_850,0.565053761,0.5649912357
ceiling,24,45,2m_temperature,0.5769604445,0.5770010352
ceiling,24,45,mean_sea_level_pressure,52.04802704,52.04636002
ceiling,24,45,specific_humidity_700,0.0004936410696,0.0004936679616
ceiling,24,45,u_component_of_wind_500,1.506397486,1.506422281
ceiling,24,45,v_component_of_wind_500,1.532549858,1.532595277
ceiling,24,46,geopotential_500,49.82450104,49.82879257
ceiling,24,46,temperature_850,0.6083728075,0.6083568931
ceiling,24,46,2m_temperature,0.5460628271,0.5460761189
ceiling,24,46,mean_sea_level_pressure,57.99134064,57.98045731
ceiling,24,46,specific_humidity_700,0.0005236722063,0.0005236800062
ceiling,24,46,u_component_of_wind_500,1.624390125,1.624450326
ceiling,24,46,v_component_of_wind_500,1.645371437,1.645369172
ceiling,72,0,geopotential_500,132.0557709,131.9798126
ceiling,72,0,temperature_850,0.9928971529,0.992829442
ceiling,72,0,2m_temperature,0.860280633,0.8601693511
ceiling,72,0,mean_sea_level_pressure,134.0050507,133.9458771
ceiling,72,0,specific_humidity_700,0.0008025668794,0.000802566763
ceiling,72,0,u_component_of_wind_500,2.764892817,2.76462245
ceiling,72,0,v_component_of_wind_500,2.768553972,2.768193245
ceiling,72,1,geopotential_500,126.8937302,126.8689575
ceiling,72,1,temperature_850,0.9502355456,0.9502070546
ceiling,72,1,2m_temperature,0.945379436,0.9454364181
ceiling,72,1,mean_sea_level_pressure,130.0610046,130.048172
ceiling,72,1,specific_humidity_700,0.0007896987954,0.0007896268507
ceiling,72,1,u_component_of_wind_500,2.824748278,2.824518442
ceiling,72,1,v_component_of_wind_500,2.892337322,2.892445326
ceiling,72,2,geopotential_500,135.269577,135.2575684
ceiling,72,2,temperature_850,0.9753325582,0.9752497077
ceiling,72,2,2m_temperature,0.8782570958,0.8782956004
ceiling,72,2,mean_sea_level_pressure,130.8791656,130.8702087
ceiling,72,2,specific_humidity_700,0.000769659935,0.0007696941611
ceiling,72,2,u_component_of_wind_500,2.947926044,2.947607279
ceiling,72,2,v_component_of_wind_500,2.996280193,2.995931864
ceiling,72,3,geopotential_500,128.8873749,128.894516
ceiling,72,3,temperature_850,0.9599261284,0.9600007534
ceiling,72,3,2m_temperature,0.9644753337,0.9644672871
ceiling,72,3,mean_sea_level_pressure,128.6434784,128.6428986
ceiling,72,3,specific_humidity_700,0.00079233211,0.0007924500969
ceiling,72,3,u_component_of_wind_500,2.795297861,2.795162678
ceiling,72,3,v_component_of_wind_500,2.814621449,2.814769268
ceiling,72,4,geopotential_500,151.525528,151.5990753
ceiling,72,4,temperature_850,1.026732802,1.026997924
ceiling,72,4,2m_temperature,0.918712914,0.9188081026
ceiling,72,4,mean_sea_level_pressure,148.4662933,148.5270538
ceiling,72,4,specific_humidity_700,0.0008208592772,0.0008208057843
ceiling,72,4,u_component_of_wind_500,2.881738186,2.882163525
ceiling,72,4,v_component_of_wind_500,2.998812914,2.999513388
ceiling,72,5,geopotential_500,138.9819641,139.0004272
ceiling,72,5,temperature_850,1.082484484,1.082658172
ceiling,72,5,2m_temperature,0.9236460924,0.9238057733
ceiling,72,5,mean_sea_level_pressure,135.5786743,135.6295776
ceiling,72,5,specific_humidity_700,0.0008260587929,0.0008260119939
ceiling,72,5,u_component_of_wind_500,3.030209064,3.030220032
ceiling,72,5,v_component_of_wind_500,3.122809887,3.122678995
ceiling,72,6,geopotential_500,139.2306824,139.2766876
ceiling,72,6,temperature_850,0.9833155274,0.9834553599
ceiling,72,6,2m_temperature,0.9254494309,0.9256231189
ceiling,72,6,mean_sea_level_pressure,143.4789276,143.5164795
ceiling,72,6,specific_humidity_700,0.0007849776302,0.0007850527181
ceiling,72,6,u_component_of_wind_500,2.977320194,2.977740526
ceiling,72,6,v_component_of_wind_500,3.008502007,3.009058952
ceiling,72,7,geopotential_500,150.5027924,150.5617523
ceiling,72,7,temperature_850,1.069984794,1.070178151
ceiling,72,7,2m_temperature,0.9115549922,0.9115730524
ceiling,72,7,mean_sea_level_pressure,154.8266144,154.8851929
ceiling,72,7,specific_humidity_700,0.000824435323,0.0008244601195
ceiling,72,7,u_component_of_wind_500,3.03629303,3.036338568
ceiling,72,7,v_component_of_wind_500,3.161174536,3.161497831
ceiling,72,8,geopotential_500,125.9245758,125.9293747
ceiling,72,8,temperature_850,1.018755674,1.018718839
ceiling,72,8,2m_temperature,0.9161826372,0.9161570072
ceiling,72,8,mean_sea_level_pressure,134.0551758,134.033905
ceiling,72,8,specific_humidity_700,0.0007862714119,0.0007862486527
ceiling,72,8,u_component_of_wind_500,2.648943663,2.649039984
ceiling,72,8,v_component_of_wind_500,2.785885096,2.785668612
ceiling,72,9,geopotential_500,146.0317078,146.1259003
ceiling,72,9,temperature_850,1.020221114,1.020706773
ceiling,72,9,2m_temperature,0.8908260465,0.8909773827
ceiling,72,9,mean_sea_level_pressure,131.4403076,131.5210114
ceiling,72,9,specific_humidity_700,0.000815589563,0.0008156671538
ceiling,72,9,u_component_of_wind_500,2.88865304,2.889462709
ceiling,72,9,v_component_of_wind_500,3.035848379,3.036725044
ceiling,72,10,geopotential_500,152.5568085,152.6218719
ceiling,72,10,temperature_850,1.099123716,1.099289179
ceiling,72,10,2m_temperature,0.905672431,0.9056536555
ceiling,72,10,mean_sea_level_pressure,148.2280579,148.2692719
ceiling,72,10,specific_humidity_700,0.0007974055479,0.000797492452
ceiling,72,10,u_component_of_wind_500,2.932857513,2.933316231
ceiling,72,10,v_component_of_wind_500,3.04121685,3.041793108
ceiling,72,11,geopotential_500,136.8883972,136.854126
ceiling,72,11,temperature_850,0.943447113,0.9433440566
ceiling,72,11,2m_temperature,0.8458486199,0.8458253145
ceiling,72,11,mean_sea_level_pressure,134.0155334,133.984375
ceiling,72,11,specific_humidity_700,0.0007601343677,0.0007601359393
ceiling,72,11,u_component_of_wind_500,2.786549091,2.786117554
ceiling,72,11,v_component_of_wind_500,3.026877403,3.026462078
ceiling,72,12,geopotential_500,137.6026611,137.6354218
ceiling,72,12,temperature_850,1.024409533,1.024472713
ceiling,72,12,2m_temperature,0.8487847447,0.8487702012
ceiling,72,12,mean_sea_level_pressure,146.3611603,146.3888092
ceiling,72,12,specific_humidity_700,0.0008219326264,0.0008218619623
ceiling,72,12,u_component_of_wind_500,2.69036746,2.690552473
ceiling,72,12,v_component_of_wind_500,2.857746601,2.85798955
ceiling,72,13,geopotential_500,139.3256683,139.4195251
ceiling,72,13,temperature_850,1.048658133,1.048888564
ceiling,72,13,2m_temperature,0.9215586185,0.921782434
ceiling,72,13,mean_sea_level_pressure,160.6701813,160.7534332
ceiling,72,13,specific_humidity_700,0.0007634982467,0.0007634681533
ceiling,72,13,u_component_of_wind_500,2.751359224,2.752011776
ceiling,72,13,v_component_of_wind_500,3.004110336,3.005084276
ceiling,72,14,geopotential_500,145.6927338,145.5856476
ceiling,72,14,temperature_850,1.060070395,1.05975759
ceiling,72,14,2m_temperature,0.8657804132,0.8656545281
ceiling,72,14,mean_sea_level_pressure,152.6393738,152.5155029
ceiling,72,14,specific_humidity_700,0.0007647117018,0.0007646848098
ceiling,72,14,u_component_of_wind_500,2.829661131,2.828819036
ceiling,72,14,v_component_of_wind_500,3.159967661,3.15865922
ceiling,72,15,geopotential_500,161.8740234,161.8527069
ceiling,72,15,temperature_850,1.08829236,1.088174939
ceiling,72,15,2m_temperature,0.9096163511,0.9095958471
ceiling,72,15,mean_sea_level_pressure,161.9714661,161.9653625
