group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,share,norm,rank,significant,lag1_autocorr,n,n_eff
enc0_attn,RMSE U500,168,6.6741063594818115,6.651429732640584,-0.022676626841227215,-0.0750975211461385,0.047497219840685515,-0.33977023469233214,-0.05517055522971557,-0.1827067123790774,0.11555722148738541,-0.014419580921485724,share,13,False,-0.07843434059859147,12,14.042637065696328
enc0_mlp,RMSE U500,168,6.6741063594818115,6.666971723238627,-0.007134636243184407,-0.06709273457527161,0.055391049385070765,-0.1069002478968338,-0.017358042078062158,-0.16323165893739022,0.1347623246935066,-0.004536762251911488,share,16,False,-0.41371234729617457,12,28.93553717073429
enc1_attn,RMSE U500,168,6.6741063594818115,6.7558274269104,0.08172106742858887,-0.03389052748680115,0.2514287898937861,1.2244495821150478,0.19882131039892684,-0.08245314576837516,0.6117076422475971,0.0519646750386336,share,6,False,0.0665837674667886,12,10.501748790909959
enc1_mlp,RMSE U500,168,6.6741063594818115,7.234176516532898,0.5600701570510864,0.39566396673520404,0.7857525130112962,8.391687619053334,1.3626092517395862,0.9626211553425013,1.9116777252410562,0.3561366074351428,share,3,True,-0.3276134279987013,12,23.6937526705302
enc2_attn,RMSE U500,168,6.6741063594818115,6.689209500948588,0.01510314146677653,-0.0010152240594228108,0.03152987460295356,0.2262945876689499,0.03674482568633687,-0.002469965018743107,0.07670985196994652,0.009603763913991578,share,15,False,0.052317886116010216,12,10.80679661217331
enc2_mlp,RMSE U500,168,6.6741063594818115,6.700865427652995,0.02675906817118327,-0.0006539463996887207,0.058898189663887,0.40093859357166267,0.0651028329200171,-0.0015910032040438917,0.1432949374937056,0.01701551785367071,share,11,False,-0.08153481292306153,12,14.13054946195751
downsample,RMSE U500,168,6.6741063594818115,7.075305898984273,0.40119953950246173,0.30848634243011475,0.5236201713482538,6.011284775713576,0.9760887943005524,0.7505244458012407,1.2739291335094607,0.2551141872212188,share,4,True,-0.31038430687747537,12,22.80199223908308
dec0_attn,RMSE U500,168,6.6741063594818115,6.676205436388652,0.0020990769068400064,-0.042885146538416546,0.050393291314442944,0.031451055673661486,0.005106898800737589,-0.10433638839664887,0.12260314909870254,0.0013347580101099106,share,17,False,0.29304977253604075,12,6.560770443452559
dec0_mlp,RMSE U500,168,6.6741063594818115,6.701832572619121,0.027726213137308758,-0.0074801852305730184,0.07478734056154886,0.4154295967716863,0.06745582506220645,-0.018198737196731048,0.18195206596746133,0.01763050460630801,share,10,False,0.24026271062246216,12,7.350738996220322
dec1_attn,RMSE U500,168,6.6741063594818115,6.632787585258484,-0.04131877422332764,-0.09496997594833374,0.009888577461242632,-0.6190907366141479,-0.10052552045209202,-0.23105492452239654,0.02405817729367736,-0.02627372283635584,share,9,False,0.12747925448295536,12,9.286422703188478
dec1_mlp,RMSE U500,168,6.6741063594818115,6.626834988594055,-0.04727137088775635,-0.11102348168691,0.056994943817456505,-0.7082801552989721,-0.1150077476957852,-0.270111916163255,0.13866448117313326,-0.03005885145785106,share,8,False,0.49586870842610176,12,4.04418881470682
dec2_attn,RMSE U500,168,6.6741063594818115,6.651794513066609,-0.022311846415201824,-0.055643601218859355,0.003120581309000651,-0.3343046276675482,-0.05428307144380414,-0.1353767646184547,0.007592143428670598,-0.014187624867859431,share,14,False,-0.01620827477695527,12,12.395407467529504
