seed,k,cost,config
5,18,0.947718,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
5,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
6,0,0,
6,1,0.0689261,bf16:enc0_mlp
6,2,0.0696445,bf16:cond_embed|enc0_mlp
6,3,0.184521,bf16:cond_embed|dec1_mlp|enc0_mlp
6,4,0.218984,bf16:cond_embed|dec1_mlp|enc0_attn|enc0_mlp
6,5,0.333861,bf16:cond_embed|dec1_mlp|enc0_attn|enc0_mlp|enc1_mlp
6,6,0.342477,bf16:cond_embed|dec1_mlp|enc0_attn|enc0_mlp|enc1_mlp|upsample
6,7,0.411403,bf16:cond_embed|dec1_mlp|dec2_mlp|enc0_attn|enc0_mlp|enc1_mlp|upsample
6,8,0.463685,bf16:cond_embed|dec0_attn|dec1_mlp|dec2_mlp|enc0_attn|enc0_mlp|enc1_mlp|upsample
6,9,0.555586,bf16:cond_embed|dec0_attn|dec1_mlp|dec2_mlp|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|upsample
6,10,0.613025,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_mlp|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|upsample
6,11,0.704926,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|upsample
6,12,0.706474,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|upsample
6,13,0.763913,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|upsample
6,14,0.786888,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|upsample
6,15,0.83917,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|upsample
6,16,0.873633,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|upsample
6,17,0.994254,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|upsample
6,18,0.999997,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|upsample
