var,tag,lead,k,ratio
Z500,W8A8_floor,120,386,4.274231838
Z500,W8A8_floor,120,387,4.184133654
Z500,W8A8_floor,120,388,4.234937294
Z500,W8A8_floor,120,389,4.273252354
Z500,W8A8_floor,120,390,4.079043638
Z500,W8A8_floor,120,391,4.262764032
Z500,W8A8_floor,120,392,4.231956309
Z500,W8A8_floor,120,393,4.206634884
Z500,W8A8_floor,120,394,4.350708355
Z500,W8A8_floor,120,395,4.235375185
Z500,W8A8_floor,120,396,4.28846906
Z500,W8A8_floor,120,397,4.331906959
Z500,W8A8_floor,120,398,4.295666115
Z500,W8A8_floor,120,399,4.213878994
Z500,W8A8_floor,120,400,4.259699202
Z500,W8A8_floor,120,401,4.495386955
Z500,W8A8_floor,120,402,4.362950302
Z500,W8A8_floor,120,403,4.448657323
Z500,W8A8_floor,120,404,4.557624769
Z500,W8A8_floor,120,405,4.554650734
Z500,W8A8_floor,120,406,4.469610978
Z500,W8A8_floor,120,407,4.600910085
Z500,W8A8_floor,120,408,4.689082439
Z500,W8A8_floor,120,409,4.62902909
Z500,W8A8_floor,120,410,4.532732909
Z500,W8A8_floor,120,411,4.603937838
Z500,W8A8_floor,120,412,4.843099203
Z500,W8A8_floor,120,413,4.921143438
Z500,W8A8_floor,120,414,4.900286967
Z500,W8A8_floor,120,415,4.893019175
Z500,W8A8_floor,120,416,5.037401483
Z500,W8A8_floor,120,417,5.003576116
Z500,W8A8_floor,120,418,5.21199833
Z500,W8A8_floor,120,419,5.115258139
Z500,W8A8_floor,120,420,5.184649278
Z500,W8A8_floor,120,421,5.106481851
Z500,W8A8_floor,120,422,5.449682181
Z500,W8A8_floor,120,423,5.2691775
Z500,W8A8_floor,120,424,5.252565202
Z500,W8A8_floor,120,425,5.4398172
Z500,W8A8_floor,120,426,5.664735188
Z500,W8A8_floor,120,427,5.731043925
Z500,W8A8_floor,120,428,5.897915744
Z500,W8A8_floor,120,429,6.015273672
Z500,W8A8_floor,120,430,5.90547645
Z500,W8A8_floor,120,431,6.006740618
Z500,W8A8_floor,120,432,6.22450211
Z500,W8A8_floor,120,433,5.931788043
Z500,W8A8_floor,120,434,5.626350849
Z500,W8A8_floor,120,435,5.696610742
Z500,W8A8_floor,120,436,6.203525796
Z500,W8A8_floor,120,437,6.540421206
Z500,W8A8_floor,120,438,6.629143568
Z500,W8A8_floor,120,439,6.822532753
Z500,W8A8_floor,120,440,6.753652956
Z500,W8A8_floor,120,441,6.889433111
Z500,W8A8_floor,120,442,6.788274081
Z500,W8A8_floor,120,443,6.183886146
Z500,W8A8_floor,120,444,6.975038604
Z500,W8A8_floor,120,445,7.304931047
Z500,W8A8_floor,120,446,6.903485503
Z500,W8A8_floor,120,447,7.04970978
Z500,W8A8_floor,120,448,7.134584292
Z500,W8A8_floor,120,449,7.164712401
Z500,W8A8_floor,120,450,6.455074444
Z500,W8A8_floor,120,451,7.439145654
Z500,W8A8_floor,120,452,7.528427204
Z500,W8A8_floor,120,453,7.711310842
Z500,W8A8_floor,120,454,7.758743054
Z500,W8A8_floor,120,455,8.225281983
Z500,W8A8_floor,120,456,8.21406233
